"link","title","depth","statusCode"
"https://medium.com/@missmagen/highlights",,2,200
"https://medium.com/@missmagen?source=user_profile---------1---------",,2,200
"https://medium.com/@missmagen/the-extracurricular-experience-70c46efbec7b?source=user_profile---------1---------",,2,200
"https://medium.com/@missmagen/the-extracurricular-experience-70c46efbec7b?source=user_profile---------1---------#--responses",,2,200
"https://medium.com/@missmagen?source=user_profile---------3---------",,2,200
"https://medium.com/@missmagen/hispanic-female-rape-school-shooting-abortion-e28f4c72041f?source=user_profile---------3---------",,2,200
"https://medium.com/@missmagen/hispanic-female-rape-school-shooting-abortion-e28f4c72041f?source=user_profile---------3---------#--responses",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40missmagen%2Fhispanic-female-rape-school-shooting-abortion-e28f4c72041f%3Fsource%3Dreading_list---------1-3--------",,2,200
"https://medium.com/@Medium/personalize-your-medium-experience-with-users-publications-tags-26a41ab1ee0c#.hx4zuv3mg",,2,200
"https://medium.com/@missmagen?source=post_header_lockup",,2,200
"https://medium.com/tag/politics?source=post",,2,200
"https://medium.com/tag/equality?source=post",,2,200
"https://medium.com/tag/women?source=post",,2,200
"https://medium.com/tag/sexual-assault?source=post",,2,200
"https://medium.com/tag/gun-violence?source=post",,2,200
"https://medium.com/@missmagen?source=footer_card","Go to the profile of Magen McAfee",2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40missmagen%3Fsource%3Dreading_list---------1-3--------",,2,200
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Ftop",,2,200
"https://medium.com/browse/top/december-13-2016",,2,200
"https://backchannel.com/@stevenlevy",,2,302
"https://backchannel.com/@stevenlevy?source=top_stories---------0---------",,2,302
"https://backchannel.com?source=top_stories---------0---------",,2,302
"https://backchannel.com/the-real-story-behind-pebbles-demise-303802a7afaa?source=top_stories---------0---------",,2,302
"https://backchannel.com/the-real-story-behind-pebbles-demise-303802a7afaa?source=top_stories---------0---------#--responses",,2,302
"https://medium.com/@benjaminhardy",,2,200
"https://medium.com/@benjaminhardy?source=top_stories---------1---------",,2,200
"https://medium.com/the-mission?source=top_stories---------1---------",,2,200
"https://medium.com/the-mission/why-most-people-will-never-be-successful-c93631357133?source=top_stories---------1---------",,2,200
